Plate,Well,Note
C/D,B1,
C/D,E1,
C/D,E12,
C/D,B12,
1-2/3-4,D10,
A/B,H2,1 spot
A/B,D3,2 spot
9-10/Repeat9-10,F1,2 spots
9-10/Repeat9-10,G2,1 spot
9-10/Repeat9-10,G4,1 spot
9-10/Repeat9-10,E4,1 spot
9-10/Repeat9-10,C7,1 spot
9-10/Repeat9-10,D7,1 spot
9-10/Repeat9-10,D8,2 spot
9-10/Repeat9-10,C9,2 spot
9-10/Repeat9-10,G9,1 spot
9-10/Repeat9-10,H9,1 spot
9-10/Repeat9-10,E10,1 tiny spot
9-10/Repeat9-10,E11,1 spot
9-10/Repeat9-10,G12,1 spot
9-10/Repeat9-10,G5,1 spot
9-10/Repeat9-10,H5,1 spot
9-10/Repeat9-10,F8,1 spot
9-10/Repeat9-10,C8,1 spot

